"Daily Weather Observations for Darwin, Northern Territory for February 2017"
"Prepared at 13:06 UTC on Tuesday 13 March 2018   IDCJDW8014.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,24.9,32.8,10.8,6.6,6.1,NNE,35,18:47,26.8,88,7,ENE,6,1007.3,31.5,67,7,N,11,1003.8
,2017-02-2,25.1,32.1,9.0,8.0,8.5,N,43,15:28,28.2,78,2,NE,15,1007.2,31.7,62,6,NNW,11,1003.8
,2017-02-3,25.6,30.2,6.4,4.0,2.2,ENE,30,11:49,28.5,83,6,E,9,1005.3,28.7,82,7,N,7,1002.7
,2017-02-4,25.8,27.5,4.4,1.0,0.0,WNW,44,16:15,26.8,87,8,S,9,1004.5,25.2,96,8,WNW,6,1002.1
,2017-02-5,23.7,28.4,210.6,,0.0,WNW,67,17:24,25.9,93,8,NNW,22,1002.5,27.4,85,8,WNW,31,999.9
,2017-02-6,23.8,30.0,59.6,,0.0,WNW,52,01:14,27.6,90,8,NNW,20,1003.8,26.3,92,8,NW,11,1001.9
,2017-02-7,24.8,32.1,6.4,1.0,2.3,NW,31,12:15,29.6,77,5,NNW,17,1005.4,29.8,76,7,NW,17,1003.0
,2017-02-8,26.0,31.5,1.2,3.0,1.8,WNW,57,12:42,28.8,86,7,NNW,11,1007.3,24.7,91,7,WSW,22,1005.5
,2017-02-9,23.3,28.2,59.6,,0.5,WNW,50,02:51,25.4,91,8, ,Calm,1007.4,27.4,79,7,W,22,1004.5
,2017-02-10,23.4,29.1,72.8,,0.2,WSW,33,14:17,24.9,86,8,SW,9,1006.9,26.3,87,7,W,20,1005.0
,2017-02-11,24.7,30.6,7.2,2.0,5.3,SW,48,15:36,28.7,75,7,SW,19,1007.8,29.4,73,7,W,24,1005.5
,2017-02-12,24.0,29.0,58.4,,1.1,W,41,20:48,24.4,96,8,WSW,13,1008.0,28.7,80,7,WNW,19,1005.3
,2017-02-13,23.6,29.9,14.6,1.8,2.8,WNW,61,07:49,26.7,77,8,W,30,1008.2,29.4,71,7,WNW,35,1006.5
,2017-02-14,24.4,31.5,5.8,5.4,10.9,WNW,44,10:47,28.9,69,5,WNW,28,1010.5,30.6,64,4,WNW,30,1008.6
,2017-02-15,26.7,31.9,0,7.2,10.2,W,41,11:59,29.2,70,7,W,20,1010.9,31.2,60,6,W,24,1008.7
,2017-02-16,26.8,32.0,0,7.0,7.7,W,35,12:32,29.1,75,6,WSW,19,1010.5,30.9,65,4,W,24,1007.7
,2017-02-17,26.6,32.5,0,4.4,10.5,WSW,39,14:00,29.3,74,7,W,17,1010.8,31.9,61,7,W,24,1008.6
,2017-02-18,27.3,32.5,0,7.2,7.2,W,37,12:06,28.4,79,7,W,17,1010.5,31.6,63,7,WSW,26,1007.2
,2017-02-19,25.2,31.9,0.2,6.4,6.2,WNW,43,13:40,28.7,81,8,WNW,19,1008.9,31.5,63,6,WNW,28,1005.6
,2017-02-20,23.7,33.2,11.8,6.0,8.5,SE,39,01:43,27.6,74,7,WNW,7,1009.7,31.4,67,5,WNW,15,1006.3
,2017-02-21,25.9,34.4,0,4.0,11.6,WNW,33,15:14,29.0,78,3,WSW,15,1012.1,33.9,30,5,WNW,15,1008.1
,2017-02-22,25.1,34.0,0,7.8,11.8,WNW,33,14:42,29.2,75,1,WSW,13,1011.7,33.2,60,2,WNW,26,1008.0
,2017-02-23,26.0,34.7,0,7.0,11.7,W,31,15:44,29.3,73,1,WSW,13,1010.2,33.3,63,1,WNW,24,1006.2
,2017-02-24,28.3,32.1,0,7.6,1.2,WNW,28,05:37,29.4,79,7,NNW,7,1011.4,30.6,68,6,NNW,13,1008.5
,2017-02-25,25.3,31.3,0,3.6,3.1,E,26,13:31,28.4,82,6,N,2,1011.7,29.9,66,6,N,9,1008.5
,2017-02-26,25.7,33.3,15.4,4.8,9.2,ESE,41,17:35,27.3,81,5,S,11,1008.8,32.7,62,6,WNW,19,1005.7
,2017-02-27,24.2,33.7,49.2,,10.8,ENE,33,22:28,28.0,78,2,S,7,1009.8,32.5,61,5,WNW,13,1006.1
,2017-02-28,23.9,33.1,21.4,4.4,10.8,ENE,44,19:56,28.3,79,6,WSW,9,1008.8,32.0,62,5,NNW,17,1006.0
