"Daily Weather Observations for Darwin, Northern Territory for March 2017"
"Prepared at 13:06 UTC on Monday 12 March 2018   IDCJDW8014.201703"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-03-1,24.6,34.4,0,4.8,11.3,E,28,12:39,28.3,70,3,ESE,7,1009.7,32.2,62,2,NNW,15,1005.9
,2017-03-2,26.0,34.6,0,6.6,9.8,ESE,28,11:40,30.1,76,3,SSW,11,1007.6,33.7,49,7,WNW,6,1004.7
,2017-03-3,25.5,34.7,0,7.0,8.2,SSE,91,20:04,30.4,70,2,W,7,1006.0,32.3,64,6,NW,7,1002.2
,2017-03-4,20.9,32.0,31.2,10.6,2.3,E,56,16:46,27.8,75,7,SSE,9,1006.0,31.5,62,8,SE,6,1001.5
,2017-03-5,24.5,28.4,55.0,,0.0,ESE,59,07:00,24.8,96,8,E,31,1002.7,27.9,86,7,NNE,24,1000.2
,2017-03-6,24.8,30.0,32.2,1.4,0.4,N,46,11:48,25.9,87,7,NE,15,1005.2,26.8,90,7,N,15,1003.4
,2017-03-7,24.8,32.6,34.8,8.0,8.0,NNW,37,01:17,28.8,82,7,NE,15,1007.4,29.7,69,8,NE,15,1005.1
,2017-03-8,25.7,32.2,0,4.6,4.7,SSE,30,13:44,28.9,82,7,NE,9,1008.6,24.4,96,8,N,11,1006.3
,2017-03-9,23.8,32.0,32.6,4.8,4.1,ESE,33,15:10,27.9,86,7,ENE,6,1009.5,27.3,91,7,S,6,1007.2
,2017-03-10,25.7,32.4,8.4,3.4,5.7,NNW,22,12:12,27.3,90,7,SSE,6,1010.9,32.0,58,7,WNW,13,1006.9
,2017-03-11,25.6,32.4,0,3.0,9.4,WNW,35,15:42,28.9,79,7,W,7,1010.4,31.2,70,7,WNW,22,1007.2
,2017-03-12,24.3,32.8,3.6,3.8,5.5,NW,28,15:42,28.1,81,7,SW,13,1009.7,32.6,62,8,WNW,15,1006.2
,2017-03-13,27.3,32.1,0,5.0,3.7,NNW,33,17:16,29.7,82,5,SW,6,1009.4,30.6,69,4,W,9,1006.1
,2017-03-14,25.1,33.5,11.2,3.6,9.3,SSE,31,15:29,29.1,72,3,SE,6,1010.0,31.8,70,5,NW,19,1007.2
,2017-03-15,25.8,31.9,3.8,6.4,6.2,NW,35,13:01,28.0,83,6,SW,13,1009.7,31.7,62,5,NW,19,1006.1
,2017-03-16,25.4,31.9,9.4,3.2,9.7,WNW,33,16:37,28.8,86,4, ,Calm,1009.3,31.8,71,2,WNW,19,1005.4
,2017-03-17,22.4,33.9,18.4,8.0,6.8,SE,56,16:36,27.9,84,7,SE,4,1008.3,31.5,75,7,NW,20,1005.6
,2017-03-18,23.3,32.6,13.6,4.8,7.8,NNE,33,15:59,27.3,83,5,ESE,13,1009.9,31.9,68,5,NNE,20,1006.6
,2017-03-19,25.1,32.2,33.0,7.8,8.7,WNW,31,22:04,28.0,90,6,N,9,1009.5,31.2,70,6,NW,15,1006.9
,2017-03-20,24.1,29.3,22.0,9.4,0.4,SE,31,08:37,24.1,91,8,SSE,13,1011.5,28.5,79,8,W,7,1006.9
,2017-03-21,23.5,30.6,33.8,3.4,5.6,NW,31,11:00,26.5,92,7,NW,9,1008.9,30.1,73,7,NNW,15,1005.9
,2017-03-22,25.0,30.2,6.8,3.6,2.8,N,30,12:22,27.6,85,6,SSE,9,1010.1,27.4,83,7,W,19,1007.3
,2017-03-23,24.9,31.9,20.0,4.0,4.8,SE,28,21:28,27.6,88,7,ENE,7,1010.4,30.3,69,7,NNW,13,1006.8
,2017-03-24,24.5,32.3,18.0,3.2,5.8,NNE,31,19:00,28.0,82,5,SSE,7,1009.5,27.5,86,7,S,7,1005.7
,2017-03-25,24.0,30.4,17.0,5.8,0.8,E,31,04:26,26.7,89,7,ESE,11,1007.9,27.7,87,8,SW,4,1006.0
,2017-03-26,24.9,31.4,18.2,3.0,8.5,NW,30,20:19,27.6,90,7,NE,7,1009.1,30.1,69,7,NNW,15,1006.2
,2017-03-27,26.9,32.2,0.4,4.0,5.8,WNW,30,11:13,28.2,85,5,SSW,6,1011.0,28.9,78,6,WSW,13,1008.2
,2017-03-28,27.5,33.4,0.2,2.8,10.2,WNW,31,10:45,29.9,77,7,W,15,1010.8,32.7,64,3,W,17,1006.9
,2017-03-29,27.9,33.6,0,6.0,10.3,SSE,72,21:45,30.1,75,3,WSW,17,1009.3,32.6,66,7,WNW,24,1006.8
,2017-03-30,22.4,32.3,25.4,9.4,8.4,SE,39,02:29,28.2,84,7,W,13,1010.1,31.7,65,7,WNW,17,1007.5
,2017-03-31,23.0,31.4,9.4,6.8,3.8,NE,59,02:58,25.8,89,7,NE,9,1011.0,30.9,69,7,W,13,1007.0
