"Daily Weather Observations for Darwin, Northern Territory for April 2017"
"Prepared at 13:06 UTC on Sunday 11 March 2018   IDCJDW8014.201704"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-04-1,23.3,32.9,26.2,3.6,8.7,E,37,12:11,28.3,74,7,ESE,15,1010.2,32.7,52,8,E,22,1006.7
,2017-04-2,25.8,33.1,0,4.6,8.3,ESE,30,10:58,27.6,51,2,SE,17,1010.3,32.1,40,7,ENE,15,1007.9
,2017-04-3,23.9,34.1,0,7.2,7.7,E,31,12:26,27.7,49,7,SE,15,1011.4,34.0,31,7,ENE,17,1007.6
,2017-04-4,25.4,33.4,0,6.8,8.6,ENE,30,15:21,27.7,78,7,ENE,15,1011.3,32.7,51,5,NE,19,1007.7
,2017-04-5,26.0,32.6,0,5.2,9.1,E,33,17:23,29.6,62,2,S,2,1009.6,32.0,62,5,N,15,1005.5
,2017-04-6,23.6,33.6,24.6,6.6,8.5,E,46,23:57,26.8,83,7,S,7,1009.7,31.7,59,3,NW,13,1006.3
,2017-04-7,24.1,33.3,27.6,7.6,7.2,ENE,56,00:01,27.5,81,7,S,6,1010.8,33.0,53,7,ENE,20,1008.4
,2017-04-8,25.9,34.2,0,5.2,9.1,ESE,33,13:12,29.4,75,6,SSE,11,1011.1,33.7,40,5,E,11,1008.0
,2017-04-9,25.5,33.6,0,5.4,6.4,E,43,12:27,28.0,65,7,SSE,17,1009.6,31.8,57,7,ENE,24,1006.0
,2017-04-10,25.1,31.8,1.2,4.6,0.0,SE,54,16:46,26.6,73,6,SE,15,1007.6,31.5,55,7,ESE,28,1003.8
,2017-04-11,20.6,21.9,23.4,6.4,0.0,SSE,52,10:08,21.1,95,8,S,22,1007.4,19.0,95,8,S,31,1003.9
,2017-04-12,18.0,27.9,65.8,,1.0,S,41,00:17,21.8,98,8,SSW,13,1007.3,25.9,78,7,N,20,1005.4
,2017-04-13,21.6,31.7,3.4,2.0,10.0,NNE,37,11:24,27.7,78,5,N,13,1011.9,31.4,56,3,NNE,13,1009.2
,2017-04-14,24.3,32.7,0,4.0,10.9,NE,28,12:00,27.6,80,3,ENE,11,1012.8,32.1,55,3,NNE,13,1009.3
,2017-04-15,25.1,32.6,0,4.0,9.8,NNW,22,15:12,27.2,84,3,S,11,1012.2,32.4,62,6,NW,13,1008.7
,2017-04-16,25.0,33.1,0,4.4,9.8,NE,35,14:41,28.2,77,6,ENE,9,1011.3,32.6,51,3,NE,20,1008.0
,2017-04-17,25.6,33.0,7.2,5.6,7.9,ENE,39,12:44,29.3,77,5,ENE,19,1011.7,32.5,55,3,NE,20,1008.4
,2017-04-18,24.6,33.1,0,2.6,9.4,NNE,37,14:19,27.5,83,4,E,11,1013.0,32.3,48,6,NNE,20,1009.4
,2017-04-19,25.2,33.5,0,4.8,11.2,ENE,37,23:36,28.9,70,1,E,13,1013.1,33.1,46,4,WNW,17,1010.1
,2017-04-20,24.7,33.7,1.8,6.2,9.7,ENE,33,20:07,27.7,80,6,ESE,9,1014.0,33.1,53,6,ENE,17,1010.0
,2017-04-21,25.2,33.4,0,6.2,11.2,E,28,13:00,28.9,78,1,E,7,1013.0,31.8,63,3,NW,11,1009.2
,2017-04-22,23.8,33.4,0,5.0,10.6,ESE,28,14:09,29.4,70,1,E,4,1012.5,32.9,46,4,E,13,1008.6
,2017-04-23,24.3,33.6,0,5.2,11.0,WNW,26,14:03,27.9,83,4,ENE,4,1011.9,32.9,43,2,NW,15,1009.3
,2017-04-24,24.4,34.1,0,4.8,10.3,ESE,35,12:22,28.3,79,3,SSW,6,1012.3,33.9,38,3,ENE,13,1008.9
,2017-04-25,24.1,33.7,0,5.4,8.6,E,35,14:36,28.6,80,3,ENE,7,1011.7,32.8,44,7,E,17,1008.4
,2017-04-26,25.4,29.2,0,5.4,0.0,ESE,26,09:12,26.8,72,7,ESE,11,1011.0,28.9,66,7,ENE,13,1007.9
,2017-04-27,24.4,27.4,0.2,2.2,0.0,ESE,39,21:34,25.5,73,8,SE,19,1011.4,25.9,86,8,ESE,7,1008.8
,2017-04-28,23.9,27.2,3.4,1.6,0.4,ESE,31,11:22,24.8,78,7,ESE,7,1013.4,26.9,59,7,ESE,15,1010.6
,2017-04-29,22.4,31.2,0,3.0,10.9,ESE,35,09:50,25.6,46,2,ESE,17,1013.1,30.8,36,2,NE,15,1010.6
,2017-04-30,21.6,32.1,0,6.6,10.6,E,22,08:40,25.8,55,2,E,19,1014.1,31.6,47,5,SE,6,1010.7
