"Daily Weather Observations for Darwin, Northern Territory for June 2017"
"Prepared at 13:07 UTC on Friday  9 March 2018   IDCJDW8014.201706"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-06-1,21.9,31.6,0,10.0,9.9,ESE,43,10:08,23.5,25,7,SE,22,1015.8,31.3,18,4,SE,22,1012.0
,2017-06-2,21.6,32.0,0,9.6,10.7,ESE,43,10:14,24.4,34,7,SE,24,1014.9,31.2,33,3,E,30,1011.9
,2017-06-3,22.7,31.6,0,7.0,7.4,ESE,43,10:26,24.0,42,7,SE,19,1015.5,30.9,37,7,ESE,19,1011.4
,2017-06-4,22.4,31.4,0,6.6,8.3,E,43,10:25,25.8,59,6,ESE,24,1013.9,30.8,40,7,E,17,1010.4
,2017-06-5,23.3,32.4,0,5.4,8.9,E,43,10:29,25.6,66,3,E,20,1014.5,32.1,32,3,E,24,1011.1
,2017-06-6,20.6,31.8,0,6.4,10.8,E,46,11:05,24.2,45,1,SE,15,1016.1,31.0,26,1,ESE,17,1012.6
,2017-06-7,20.0,30.4,0,9.0,10.8,ESE,43,12:32,23.4,48,1,SE,19,1016.2,30.1,38,1,ENE,19,1012.5
,2017-06-8,19.2,29.4,0,7.4,10.9,E,54,10:41,23.3,43,2,ESE,24,1016.2,28.8,28,4,E,19,1012.7
,2017-06-9,20.6,29.4,0,10.6,5.4,E,46,11:40,21.6,46,7,SE,17,1016.5,28.5,26,5,ESE,22,1013.0
,2017-06-10,18.7,29.4,0,7.8,8.7,ESE,48,10:36,20.9,29,7,SE,22,1017.1,28.5,24,7,E,17,1013.5
,2017-06-11,19.0,29.4,0,7.6,10.4,E,46,10:22,21.8,31,3,ESE,20,1017.3,28.6,24,1,SE,17,1013.9
,2017-06-12,17.2,29.1,0,7.2,10.1,ESE,44,12:10,20.9,41,1,ESE,15,1017.6,28.5,21,2,E,20,1014.1
,2017-06-13,18.3,29.8,0,8.4,10.5,ESE,41,10:27,21.9,43,3,ESE,19,1016.7,29.4,24,2,E,13,1013.1
,2017-06-14,16.9,30.3,0,5.4,10.9,E,33,10:30,21.8,41,1,ESE,11,1016.6,28.7,43,0,NW,17,1012.9
,2017-06-15,19.0,30.9,0,5.0,10.8,E,41,11:32,22.9,43,0,E,13,1015.8,30.2,27,0,ESE,15,1011.8
,2017-06-16,18.9,31.1,0,6.0,10.6,ESE,31,12:29,21.8,52,0,SE,13,1014.7,30.5,29,1,ESE,9,1010.7
,2017-06-17,20.2,32.1,0,4.8,9.9,E,31,11:08,23.9,51,1,SE,11,1014.5,31.2,35,3,SE,11,1011.4
,2017-06-18,20.0,33.1,0,4.6,10.9,E,43,11:53,24.2,70,1,SSE,13,1014.6,32.7,33,1,ENE,20,1010.2
,2017-06-19,21.9,33.0,0,5.2,10.9,E,44,12:31,25.1,43,1,SE,15,1014.6,32.7,28,1,ENE,19,1010.6
,2017-06-20,19.3,33.4,0,6.0,11.0,ENE,35,11:50,24.5,63,0,SE,9,1013.9,32.3,32,1,NE,20,1010.5
,2017-06-21,21.2,32.6,0,7.6,8.6,E,37,11:49,24.8,56,7,SE,13,1014.6,32.0,28,0,SE,11,1011.2
,2017-06-22,20.7,32.8,0,5.6,11.0,E,33,11:36,24.8,46,0,E,17,1015.3,32.1,23,0,W,11,1011.8
,2017-06-23,19.5,31.8,0,6.2,10.6,ESE,26,13:02,24.8,62,1,SE,9,1014.9,29.2,58,1,NNW,17,1010.7
,2017-06-24,20.2,31.7,0,5.6,10.7,ENE,30,11:29,25.4,73,6,ENE,15,1013.9,31.0,32,5,NNW,7,1009.7
,2017-06-25,19.3,30.7,0,5.0,10.8,W,28,13:45,24.6,68,6,E,13,1013.9,29.0,45,1,NNW,17,1010.7
,2017-06-26,18.4,31.4,0,4.6,10.8,ESE,39,12:50,24.6,61,3,E,15,1014.7,31.0,31,5,NW,17,1011.4
,2017-06-27,18.7,30.7,0,5.2,10.2,N,31,14:56,23.3,81,1,S,9,1014.7,30.2,50,3,N,19,1011.3
,2017-06-28,19.5,30.3,0,4.8,9.6,NNW,26,17:02,25.3,67,4,E,7,1015.1,28.0,64,6,W,17,1012.1
,2017-06-29,19.1,32.3,0,2.8,10.4,E,31,11:33,24.1,78,1,NE,15,1014.9,31.0,32,5,SSE,9,1011.4
,2017-06-30,22.6,31.9,0,6.4,10.9,ESE,43,11:47,24.4,46,0,SE,24,1015.2,31.5,29,1,ESE,19,1010.5
