"Daily Weather Observations for Darwin, Northern Territory for August 2017"
"Prepared at 16:07 UTC on Wednesday  7 March 2018   IDCJDW8014.201708"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-08-1,21.4,32.4,0,5.2,10.4,E,31,10:07,25.7,71,4,ENE,19,1016.5,31.9,29,1,N,17,1011.8
,2017-08-2,20.0,30.8,0,6.2,10.5,NNW,31,14:54,26.4,63,2,ENE,13,1014.8,29.7,47,1,NNW,17,1010.6
,2017-08-3,20.5,32.0,0,5.0,11.0,ESE,44,13:39,23.0,36,1,SSE,20,1014.7,30.7,23,1,SW,13,1010.1
,2017-08-4,20.1,32.0,0,7.8,11.0,SE,35,09:49,23.3,23,7,SE,17,1014.2,31.3,42,2,NW,17,1010.1
,2017-08-5,21.3,31.7,0,6.6,10.3,W,28,13:58,26.2,39,1,SE,9,1013.8,29.7,57,1,NW,15,1010.7
,2017-08-6,20.9,33.0,0,6.0,8.2,NNW,30,14:30,26.6,59,7,ENE,7,1014.8,30.2,58,7,NNW,20,1011.4
,2017-08-7,21.3,31.9,0,4.0,10.4,N,30,15:53,27.1,80,1,NE,6,1015.7,29.9,61,1,NNW,19,1011.7
,2017-08-8,22.2,34.1,0,5.0,11.2,ENE,41,12:06,26.5,68,1,E,17,1016.2,33.9,14,0,ENE,20,1012.1
,2017-08-9,19.1,33.2,0,7.8,11.3,E,35,12:26,26.8,33,0,E,15,1015.9,31.1,31,0,WNW,19,1011.7
,2017-08-10,18.6,32.7,0,7.0,11.1,NW,31,14:14,26.0,50,1,ESE,9,1014.7,31.3,36,1,N,19,1011.3
,2017-08-11,19.9,32.3,0,7.2,10.5,NNE,33,12:58,25.8,72,1,NE,11,1015.2,31.2,47,2,N,24,1011.2
,2017-08-12,21.2,33.6,0,4.6,10.9,W,41,14:39,26.4,68,2,ENE,17,1015.0,31.6,45,1,NW,24,1011.3
,2017-08-13,20.0,33.9,0,6.0,10.1,E,46,12:08,24.1,74,6,SE,6,1016.0,33.4,19,7,ENE,17,1011.6
,2017-08-14,19.3,34.1,0,7.4,10.2,ESE,46,14:11,26.1,67,1,ENE,11,1015.9,32.9,18,2,E,19,1011.2
,2017-08-15,20.8,31.7,0,7.6,11.2,N,31,16:34,26.5,64,0,E,4,1014.7,29.7,51,1,NNW,20,1010.4
,2017-08-16,20.5,31.2,0,5.8,10.5,NW,28,14:22,25.9,76,6,S,6,1013.2,30.2,52,1,NNW,19,1009.4
,2017-08-17,21.9,32.7,0,4.6,10.8,NNW,28,14:30,27.2,71,2,S,6,1012.8,31.6,51,1,N,19,1009.2
,2017-08-18,23.7,34.3,0,5.4,11.1,ESE,46,12:54,27.3,68,1,NE,17,1014.0,30.7,57,3,NNW,24,1010.1
,2017-08-19,20.7,34.1,0,6.4,11.2,NNW,35,15:05,26.8,71,1,SE,2,1015.0,30.6,49,0,NNW,20,1010.8
,2017-08-20,20.8,33.8,0,6.2,11.1,ENE,39,11:55,26.8,78,3,NE,6,1014.9,31.8,40,2,N,19,1010.7
,2017-08-21,21.5,32.2,0,6.2,11.2,N,33,15:23,27.2,64,1,ENE,9,1013.9,30.9,37,0,NNW,22,1010.3
,2017-08-22,20.9,33.4,0,6.4,,N,41,16:36,26.3,71,1,E,17,1014.7,32.8,33,1,NNE,24,1011.3
,2017-08-23,22.0,31.6,0,,11.1,NE,41,15:33,25.7,71,,E,19,1016.0,30.5,44,0,NNE,20,1012.6
,2017-08-24,20.3,35.9,0,13.4,11.0,ENE,39,11:45,26.2,67,0,ESE,11,1015.1,33.6,30,0,N,24,1010.1
,2017-08-25,20.9,35.4,0,9.0,11.2,ESE,41,12:47,26.0,73,1,ESE,15,1015.3,34.7,14,0,ESE,11,1010.5
,2017-08-26,19.6,34.0,0,7.2,11.3,SSE,35,14:08,24.3,62,1,SSE,13,1015.2,31.6,25,0,NW,17,1010.9
,2017-08-27,17.5,34.9,0,7.2,11.2,ESE,43,10:27,24.9,42,0,SSE,13,1015.2,33.7,5,0,E,22,1010.8
,2017-08-28,18.1,33.0,0,9.0,11.2,SE,41,10:03,24.4,20,1,SE,19,1015.5,31.6,9,0,ESE,15,1010.6
,2017-08-29,15.4,34.1,0,7.8,11.2,E,37,11:55,23.4,32,0,ESE,13,1014.9,32.6,8,6,ENE,11,1011.1
,2017-08-30,18.3,33.4,0,7.6,11.2,E,43,10:47,24.0,46,3,SE,9,1015.4,32.3,8,0,E,17,1011.3
,2017-08-31,17.7,34.0,0,7.8,,SE,39,11:47,24.3,32,1,SE,9,1016.7,33.5,13,5,E,20,1011.7
