"Daily Weather Observations for Darwin, Northern Territory for September 2017"
"Prepared at 13:06 UTC on Tuesday  6 March 2018   IDCJDW8014.201709"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-09-1,19.5,33.5,0,,10.6,N,28,14:40,27.2,59,,NE,6,1015.2,31.5,41,7,NW,13,1010.6
,2017-09-2,20.4,32.5,0,14.6,10.9,WNW,28,16:11,27.7,67,1,NNE,6,1015.4,31.9,43,3,NNW,17,1011.1
,2017-09-3,22.9,32.1,0,5.8,11.0,NNW,28,15:07,27.4,69,1,ENE,11,1015.9,31.2,49,1,NNW,17,1011.6
,2017-09-4,23.1,33.1,0,5.8,11.1,NW,31,12:43,27.6,69,1,NNE,15,1014.7,31.1,47,1,N,20,1011.0
,2017-09-5,22.0,35.1,0,6.0,11.0,ENE,44,12:52,27.7,63,1,E,9,1014.6,30.9,52,1,NNW,26,1010.5
,2017-09-6,20.1,35.9,0,7.4,10.9,E,46,12:14,27.3,59,1,ESE,13,1015.5,35.0,16,1,NNE,22,1011.4
,2017-09-7,19.7,36.4,0,8.4,10.9,ESE,52,11:19,26.9,39,2,ESE,22,1016.6,35.5,11,1,E,24,1011.0
,2017-09-8,17.0,34.9,0,10.4,10.7,E,46,12:32,25.4,20,1,SE,19,1016.5,34.0,10,2,E,19,1011.7
,2017-09-9,19.3,34.9,0,10.0,11.2,ESE,43,11:36,25.9,21,1,SE,17,1013.7,33.4,22,0,NNE,28,1009.8
,2017-09-10,20.5,35.4,0,7.0,11.2,E,39,11:52,27.6,53,0,E,13,1013.7,31.6,35,0,NNW,20,1009.6
,2017-09-11,21.0,34.4,0,7.6,11.0,NNW,33,13:54,28.0,57,1,NE,2,1013.8,31.7,40,0,N,19,1009.6
,2017-09-12,22.4,32.1,0,6.4,11.0,N,41,15:38,27.6,65,3,ESE,6,1014.6,30.3,57,2,N,22,1009.8
,2017-09-13,24.3,32.3,0,5.4,9.3,NNW,31,15:36,28.4,69,2,S,7,1013.3,30.5,61,6,NNW,19,1009.7
,2017-09-14,24.3,32.9,0,5.2,10.1,NNW,33,14:59,28.9,73,3,SW,4,1013.1,31.9,54,6,NNW,22,1009.7
,2017-09-15,23.5,36.5,0,5.6,10.5,SE,37,10:26,28.2,63,3,ESE,22,1015.0,36.2,11,1,E,22,1010.3
,2017-09-16,19.2,36.9,0,6.8,11.2,NNW,43,15:06,26.6,41,0,SE,11,1015.7,36.1,8,0,NNW,26,1011.1
,2017-09-17,21.7,35.5,0,7.8,10.3,E,35,12:34,27.2,69,7,ESE,7,1015.8,31.9,37,7,NNW,19,1011.3
,2017-09-18,21.4,33.9,0,8.8,10.5,WNW,35,15:57,28.0,67,1,W,4,1016.0,31.6,52,5,NW,28,1011.6
,2017-09-19,21.9,33.4,0,8.0,10.8,NNW,30,16:19,27.7,69,3,NE,6,1015.0,32.4,44,6,NNW,17,1010.4
,2017-09-20,24.0,34.7,0,6.8,10.4,NW,41,14:11,28.0,74,1,SSE,6,1013.9,32.6,49,6,NNW,24,1009.7
,2017-09-21,24.1,33.5,0,6.6,10.6,N,43,15:07,29.2,66,7,ENE,6,1013.3,32.4,43,7,N,24,1009.3
,2017-09-22,24.1,35.4,0,6.2,10.2,N,39,14:39,28.6,67,7,NE,17,1013.6,33.4,44,7,N,22,1009.6
,2017-09-23,24.5,33.6,0,6.4,11.0,NNW,33,15:24,28.9,70,4,E,6,1014.1,32.7,46,5,NNW,20,1009.9
,2017-09-24,24.0,33.4,0,6.6,10.3,NW,28,13:20,29.0,62,2,NNE,6,1013.1,31.7,51,7,NW,15,1009.1
,2017-09-25,25.3,33.6,0,7.4,10.6,NW,37,14:54,28.8,65,2,NE,6,1013.3,31.2,60,1,NW,24,1009.0
,2017-09-26,25.6,33.5,0,7.8,9.9,WNW,30,18:32,28.9,62,5,NNE,7,1013.7,32.8,46,7,WNW,19,1009.8
,2017-09-27,25.1,33.3,0,7.6,8.7,WNW,28,13:20,30.0,63,3,NNE,9,1013.9,31.5,44,6,NW,19,1009.6
,2017-09-28,24.7,32.4,0,7.2,7.3,NW,26,15:43,29.2,68,8,NNW,6,1013.4,30.7,59,8,NW,17,1009.0
,2017-09-29,24.4,33.5,0,9.0,9.8,NNW,35,12:39,29.1,66,8,NNW,11,1013.7,31.8,45,7,NNW,15,1010.5
,2017-09-30,26.1,32.9,0,6.8,9.4,WNW,39,14:27,29.9,64,5,W,11,1013.4,32.2,54,5,WNW,28,1009.7
