"Daily Weather Observations for Darwin, Northern Territory for October 2017"
"Prepared at 13:07 UTC on Monday  5 March 2018   IDCJDW8014.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,26.0,32.5,5.6,7.4,4.5,SW,33,08:58,26.0,88,7,SW,20,1012.8,31.4,59,4,WNW,17,1008.4
,2017-10-2,25.0,32.0,12.4,2.2,4.4,NNW,30,14:54,29.1,67,5,E,9,1012.8,31.2,63,6,NNW,17,1008.3
,2017-10-3,23.8,34.8,0,2.8,11.0,W,33,13:15,29.2,70,1,ENE,6,1013.3,32.0,62,2,NW,20,1008.8
,2017-10-4,25.0,33.4,0,6.8,9.2,N,30,13:44,30.4,62,7,ENE,9,1013.1,32.1,59,2,NNW,22,1009.0
,2017-10-5,26.4,33.6,0,6.8,8.3,SW,31,18:04,30.4,65,2,N,7,1012.9,32.5,57,2,N,19,1008.3
,2017-10-6,25.3,34.7,0,6.4,10.9,N,37,15:26,30.1,64,2,N,4,1011.8,32.7,53,6,NW,19,1007.7
,2017-10-7,26.0,34.3,1.6,7.2,9.4,N,37,15:56,29.7,72,3,E,9,1011.2,32.5,63,2,WNW,19,1007.1
,2017-10-8,26.4,35.8,7.2,7.2,10.6,E,46,13:50,29.5,68,7,E,17,1011.7,34.2,46,2,N,26,1006.7
,2017-10-9,27.0,34.8,0,6.6,11.2,NNE,43,12:14,30.7,53,1,E,22,1011.2,33.5,46,1,NNE,24,1007.0
,2017-10-10,24.8,33.7,0,7.4,9.4,NW,31,15:42,30.2,59,1,SE,7,1009.6,31.9,60,3,NNW,20,1005.3
,2017-10-11,25.2,33.3,0,6.2,8.7,N,35,16:30,30.6,64,4,NE,13,1010.6,33.0,53,2,N,22,1006.9
,2017-10-12,25.6,33.9,0,5.8,10.7,NW,35,13:22,29.7,67,3,NNE,6,1011.7,32.2,61,1,NNW,20,1007.2
,2017-10-13,27.1,33.3,0,7.4,7.9,NNW,33,14:00,30.0,69,6,W,9,1010.6,32.0,62,2,NW,24,1006.4
,2017-10-14,25.5,33.9,0.2,5.4,7.9,N,31,15:41,30.9,73,7,NNW,4,1009.5,32.9,59,2,NW,20,1005.2
,2017-10-15,24.8,33.1,0.6,6.2,1.3,E,43,22:12,28.6,77,8,NNW,6,1008.7,32.4,57,7,WNW,17,1005.4
,2017-10-16,22.4,34.1,17.4,9.2,10.2,NW,37,14:50,29.6,75,4,W,6,1008.9,33.3,55,2,NW,30,1004.3
,2017-10-17,28.6,34.4,0,6.6,,WNW,43,16:35,30.6,69,2,WNW,17,1008.8,33.6,56,1,WNW,28,1004.5
,2017-10-18,25.1,32.0,,,2.1,E,33,09:03,25.1,88,8,ENE,20,1011.2,31.3,56,6,N,13,1006.0
,2017-10-19,24.0,35.3,4.2,11.0,7.2,WNW,35,20:14,30.2,70,7,NNW,11,1010.5,33.4,45,2,NNW,15,1006.4
,2017-10-20,24.4,35.8,0.2,6.4,8.5,WNW,33,16:05,29.3,76,7,E,6,1012.9,33.4,42,5,WNW,20,1009.1
,2017-10-21,25.3,33.8,0,4.2,10.2,NNW,31,14:33,30.8,53,3,NE,7,1013.5,31.8,58,4,NNW,19,1009.6
,2017-10-22,25.9,31.7,0.2,6.4,4.7,N,28,09:18,28.8,77,8,N,20,1012.0,31.6,59,7,NW,15,1008.2
,2017-10-23,25.1,33.7,10.6,8.4,10.0,NW,31,14:21,30.2,70,3,S,7,1012.3,33.3,55,5,NNW,19,1008.8
,2017-10-24,24.6,34.5,0,6.0,11.2,WNW,33,16:14,29.7,68,3,NNE,4,1014.0,32.9,44,1,WNW,24,1009.6
,2017-10-25,24.2,34.0,0.8,7.8,10.4,NW,30,14:32,30.2,66,3,NW,11,1014.0,33.0,58,7,NW,19,1009.1
,2017-10-26,25.8,34.0,0,8.4,,WNW,33,20:10,29.7,64,5,NNE,11,1012.7,32.8,50,4,NNW,15,1008.2
,2017-10-27,26.4,34.2,2.6,,11.7,NW,30,14:22,31.1,54,,N,9,1012.0,33.3,38,1,NW,22,1007.8
,2017-10-28,25.8,34.7,0,16.2,11.9,NW,31,09:19,31.1,60,4,NW,15,1010.4,33.2,44,6,WNW,22,1007.2
,2017-10-29,27.7,34.1,0,8.4,11.8,WNW,37,14:57,31.1,60,3,WNW,11,1011.0,32.9,58,2,WNW,30,1007.5
,2017-10-30,22.2,34.3,37.0,10.4,9.9,SE,54,04:59,27.0,85,6,NE,9,1011.1,32.6,61,2,WNW,20,1007.1
,2017-10-31,26.8,32.2,0,7.4,6.6,ESE,52,12:26,30.9,68,6,N,6,1010.6,28.6,74,7,ENE,6,1006.9
