"Daily Weather Observations for Darwin, Northern Territory for December 2017"
"Prepared at 13:06 UTC on Saturday  3 March 2018   IDCJDW8014.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,26.3,35.0,0,8.2,11.7,WNW,26,14:19,31.3,65,6,N,11,1008.8,33.7,45,5,WNW,15,1006.0
,2017-12-2,27.7,34.1,0,7.8,5.7,SSW,28,10:28,30.4,76,7,SSE,17,1009.0,33.3,47,6,E,9,1005.1
,2017-12-3,23.7,29.5,84.0,,0.0,NE,37,01:53,25.7,96,8,SE,17,1010.1,29.0,71,8,WSW,17,1006.2
,2017-12-4,24.4,35.3,0.2,0.6,9.4,NW,28,15:22,29.3,69,1,S,9,1007.5,34.6,45,,NNW,9,1003.5
,2017-12-5,28.0,35.5,0,6.4,12.0,NW,28,14:11,30.6,64,1,S,9,1007.3,33.4,55,1,NW,17,1003.6
,2017-12-6,26.4,34.8,0,7.6,10.4,WNW,33,16:07,30.9,70,,W,9,1007.2,33.8,51,1,WNW,24,1004.8
,2017-12-7,28.2,34.5,0,8.0,9.9,NW,35,12:55,31.4,67,1,W,11,1007.4,33.0,58,6,WNW,26,1004.9
,2017-12-8,28.8,34.4,0,8.0,11.6,WNW,33,15:32,31.0,71,8,W,11,1008.3,33.4,63,4,WNW,22,1005.6
,2017-12-9,28.3,33.2,0,6.8,6.3,NNW,28,14:49,30.8,74,7,SSW,6,1009.1,31.9,64,7,NW,17,1006.7
,2017-12-10,26.2,35.1,0,4.6,10.1,NNE,41,16:09,30.7,71,4,SSE,9,1010.3,33.7,61,3,NNW,19,1007.6
,2017-12-11,26.1,34.9,0,6.2,11.8,WNW,26,14:38,31.5,62,4,SW,6,1011.7,33.8,46,6,WNW,17,1007.2
,2017-12-12,28.5,34.6,0,6.8,8.9,WNW,33,12:52,31.4,65,5,WNW,11,1010.7,33.4,60,6,WNW,28,1006.7
,2017-12-13,26.4,33.9,0,6.8,7.2,WNW,33,16:11,31.5,68,4,NW,11,1009.7,32.5,61,7,WNW,24,1006.3
,2017-12-14,24.2,33.3,5.2,7.4,9.4,NE,35,01:42,29.6,74,7,W,4,1009.4,32.3,53,6,NW,17,1005.6
,2017-12-15,26.1,33.4,0.4,6.2,4.0,NE,43,09:40,26.2,83,7,SW,13,1009.3,32.7,51,6,WNW,9,1005.2
,2017-12-16,23.4,34.4,33.6,7.8,7.3,ESE,43,16:15,29.6,67,5,S,6,1010.6,33.6,52,2,WNW,15,1005.7
,2017-12-17,26.2,34.8,0,5.6,10.7,SSE,50,08:44,26.6,70,3,SSE,31,1010.5,33.7,40,2,NW,11,1005.7
,2017-12-18,26.6,34.7,0,8.0,11.7,NNW,35,18:00,31.7,57,6,WNW,9,1008.6,33.7,44,5,NNW,15,1005.6
,2017-12-19,26.9,34.9,0,7.6,11.8,NW,26,12:14,31.2,62,5,NNW,11,1009.0,34.1,40,6,WNW,19,1005.8
,2017-12-20,26.7,35.2,0,7.8,11.0,WNW,30,14:30,31.7,64,4,E,6,1009.3,34.4,48,5,WNW,15,1006.0
,2017-12-21,24.2,35.3,1.4,7.8,8.0,NW,41,14:53,29.5,65,1,E,15,1008.6,30.4,65,7,NW,30,1005.6
,2017-12-22,24.2,33.9,15.4,26.4,8.0,NE,59,16:53,29.3,75,5,E,11,1007.5,33.5,54,6,N,20,1004.2
,2017-12-23,26.3,34.8,0.2,4.4,9.8,NNE,37,15:49,29.2,74,5,ESE,17,1006.8,34.6,50,5,NE,22,1003.1
,2017-12-24,24.6,32.5,3.0,6.8,8.6,NE,54,17:48,27.9,84,7,ENE,13,1007.1,31.8,58,7,NE,26,1004.4
,2017-12-25,24.0,27.6,20.0,6.6,0.0,NNE,46,13:57,25.4,91,8,NNE,24,1008.6,27.3,81,8,NNE,22,1005.9
,2017-12-26,24.6,31.6,8.0,4.6,1.4,NNW,56,15:22,26.7,90,7,SSE,7,1008.9,30.3,72,7,WNW,15,1006.8
,2017-12-27,23.5,31.3,8.8,3.0,0.0,NW,15,17:35,28.7,77,8,NW,9,1009.2,29.5,73,7,SW,7,1006.5
,2017-12-28,25.6,34.5,1.0,0.8,9.8,WNW,31,16:54,31.0,72,7,SW,6,1008.8,33.1,62,7,NW,19,1006.3
,2017-12-29,26.1,33.7,0,5.2,7.4,S,31,17:34,30.8,68,6,W,7,1009.7,32.4,66,7,WNW,20,1006.5
,2017-12-30,24.2,34.8,1.2,4.4,11.2,NW,28,13:27,29.9,71,1,SE,6,1010.0,33.6,61,3,WNW,17,1005.8
,2017-12-31,27.4,34.1,0,6.0,8.6,N,26,15:13,30.8,73,5,ESE,4,1009.0,32.8,59,2,NNW,17,1005.2
