"Daily Weather Observations for Darwin, Northern Territory for January 2018"
"Prepared at 16:06 UTC on Friday  2 March 2018   IDCJDW8014.201801"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-01-1,27.0,34.6,0,4.4,7.5,SSE,39,16:43,30.8,69,2,N,2,1007.7,33.3,57,4,WNW,20,1003.7
,2018-01-2,25.2,34.1,0,6.6,9.4,W,30,15:30,30.8,74,7,ENE,4,1007.8,33.3,60,3,WNW,20,1005.0
,2018-01-3,27.6,33.4,0,5.2,1.9,S,24,10:20,28.6,77,8,SE,15,1008.3,32.1,65,7,NNW,11,1004.8
,2018-01-4,27.1,34.3,0,5.2,9.0,SE,44,17:58,31.2,66,7,WSW,13,1008.9,33.5,50,7,WNW,24,1004.5
,2018-01-5,24.6,34.0,0,8.2,8.8,NNW,48,17:32,28.7,74,5,ENE,4,1008.0,32.9,47,3,WNW,17,1004.6
,2018-01-6,23.5,32.3,7.8,7.4,5.2,N,31,07:25,27.8,77,7,N,20,1008.3,31.4,58,6,N,19,1005.3
,2018-01-7,24.6,28.1,29.0,8.8,0.0,NNE,39,08:54,25.6,96,8,N,19,1010.0,26.5,87,8,N,20,1007.1
,2018-01-8,24.0,32.3,20.4,2.2,3.2,NNE,41,03:20,27.8,81,7,N,11,1009.4,31.3,68,6,NNW,11,1006.8
,2018-01-9,24.6,33.0,3.4,3.6,3.4,ENE,20,00:01,27.0,84,7,E,6,1010.3,31.6,65,7,NE,7,1006.9
,2018-01-10,24.3,32.0,0,3.2,5.0,WNW,31,15:17,28.1,76,7,N,2,1009.5,30.2,70,7,WNW,22,1006.0
,2018-01-11,24.5,33.5,0.2,3.8,8.2,NNE,26,23:37,28.9,73,7,NE,9,1008.2,32.3,53,7,WNW,13,1005.6
,2018-01-12,25.2,33.3,6.4,7.6,5.8,NW,43,18:15,28.9,78,8,N,7,1008.1,31.7,49,6,WNW,15,1006.1
,2018-01-13,24.2,31.9,14.2,2.8,8.6,NW,31,15:57,27.1,83,6,SE,4,1010.2,30.3,63,7,WNW,19,1006.9
,2018-01-14,25.6,34.5,0.2,5.2,9.4,ESE,33,22:51,29.4,77,4,SW,6,1008.6,33.0,59,3,WNW,19,1005.6
,2018-01-15,26.7,33.6,0,5.0,5.5,ESE,76,15:30,29.1,81,5,S,9,1007.1,31.3,74,7,WNW,31,1003.3
,2018-01-16,21.3,33.4,39.2,9.2,9.2,SSE,50,22:40,27.6,84,7,SE,7,1005.9,32.3,67,4,WNW,17,1003.0
,2018-01-17,24.6,32.2,1.2,5.0,3.2,E,41,06:39,27.1,70,8,ENE,11,1004.3,32.1,54,8,WSW,11,1003.7
,2018-01-18,25.1,31.4,0,4.2,2.5,N,28,13:38,26.8,83,7,E,11,1006.7,24.7,94,7,ESE,9,1004.4
,2018-01-19,24.4,32.7,7.4,2.6,4.2,WNW,33,14:21,27.0,84,6,ESE,13,1006.7,27.0,82,8,SW,4,1003.9
,2018-01-20,23.2,30.5,86.8,,3.9,NW,35,11:09,27.2,81,7,E,9,1005.9,29.3,70,7,NW,13,1003.0
,2018-01-21,25.0,29.8,3.6,3.2,0.2,WSW,52,17:37,26.0,91,8,WSW,7,1004.0,28.2,83,8,WNW,28,1001.4
,2018-01-22,23.0,30.0,46.6,4.4,0.1,SSW,54,04:09,26.2,84,7,SW,7,1002.3,28.5,77,7,W,26,999.8
,2018-01-23,23.0,31.6,33.2,4.8,2.9,WSW,43,17:28,25.4,93,7,SW,6,1002.8,31.3,66,7,WNW,20,1000.3
,2018-01-24,24.9,31.4,20.4,4.2,1.3,WNW,48,03:31,28.1,79,7,SW,11,1001.6,28.4,81,7,WNW,15,998.2
,2018-01-25,24.9,29.1,26.8,10.2,0.0,WNW,61,05:19,25.7,95,8,W,13,1001.9,28.1,85,8,NNW,17,998.3
,2018-01-26,24.7,30.5,50.8,9.2,0.0,W,63,18:58,27.3,89,8,WSW,15,1001.6,30.3,76,8,WNW,35,998.6
,2018-01-27,23.3,27.2,98.6,,0.0,WNW,74,02:23,27.0,85,8,WNW,30,1002.3,27.1,90,8,NW,22,999.8
,2018-01-28,23.1,29.7,136.2,,0.7,NNW,78,15:08,24.6,96,8,NNW,13,1002.9,27.8,86,8,N,11,999.5
,2018-01-29,23.0,28.0,44.2,3.8,0.0,SW,65,17:21,26.9,91,8,NNW,20,1002.7,25.6,94,8,WNW,17,1001.3
,2018-01-30,22.1,30.8,140.8,,0.1,WNW,50,16:57,27.7,88,8,NNW,17,1004.7,29.5,80,8,N,17,1003.0
,2018-01-31,24.0,32.1,39.8,6.4,9.9,NW,43,05:32,29.2,81,6,WNW,13,1006.8,31.6,65,6,WNW,28,1005.2
