"Daily Weather Observations for Darwin, Northern Territory for February 2018"
"Prepared at 13:06 UTC on Wednesday 14 March 2018   IDCJDW8014.201802"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-02-1,26.4,32.2,0,7.2,8.1,WNW,39,12:30,29.0,81,7,NW,15,1008.1,31.4,60,6,WNW,22,1005.2
,2018-02-2,27.4,32.4,1.0,4.2,11.8,WNW,41,15:12,30.0,70,5,W,20,1007.4,32.0,63,3,WNW,26,1004.9
,2018-02-3,26.2,29.7,4.8,5.6,3.2,SW,43,13:28,27.8,85,5,W,13,1007.6,27.5,81,7,WSW,13,1005.4
,2018-02-4,25.0,32.9,9.6,3.4,9.0,SE,65,19:03,29.6,77,2,WSW,17,1007.5,31.4,74,5,W,20,1004.2
,2018-02-5,23.1,31.0,27.0,7.6,2.8,WSW,48,14:22,29.5,83,5,SW,13,1006.7,25.2,94,8,NNW,11,1004.9
,2018-02-6,24.6,30.4,46.0,6.4,3.1,SSE,30,08:23,25.7,93,8,S,11,1007.5,30.1,76,7,WNW,13,1004.1
,2018-02-7,24.7,32.7,0.2,3.2,7.2,SW,24,14:13,28.7,77,5,SSW,4,1008.1,31.8,63,2,WSW,15,1004.1
,2018-02-8,25.9,32.5,1.4,5.0,7.7,WNW,30,11:31,29.3,79,6,SSE,6,1008.6,32.1,56,5,WNW,15,1004.3
,2018-02-9,24.9,31.6,0.4,6.4,3.4,WSW,35,17:38,27.3,85,6,E,9,1008.5,29.5,77,7,NNW,17,1005.0
,2018-02-10,24.6,31.3,31.4,3.6,3.0,NNE,33,14:52,26.9,88,7,SE,15,1008.3,28.1,84,7,NNE,22,1005.7
,2018-02-11,24.6,30.6,4.6,3.6,1.6,SW,26,20:01,27.4,84,7,E,7,1008.5,29.1,74,7,N,11,1005.9
,2018-02-12,25.1,32.0,2.8,2.8,6.3,SW,39,16:01,27.2,86,6,WSW,9,1008.1,31.3,70,7,WNW,20,1004.5
,2018-02-13,24.4,30.5,14.6,6.4,0.6,ESE,35,13:55,27.5,83,7,W,9,1008.6,24.1,98,8,SSW,13,1006.4
,2018-02-14,23.8,30.6,73.0,,0.5,N,46,22:03,25.6,93,8,NNE,6,1007.4,26.2,94,7,NNE,26,1005.1
,2018-02-15,25.2,30.8,21.6,4.2,2.6,N,35,00:05,27.8,83,7,NE,9,1011.5,30.2,72,7,N,6,1008.6
,2018-02-16,24.2,30.3,7.6,3.6,3.2,NNW,59,13:15,29.0,84,7,N,13,1010.6,24.8,98,8,NNE,6,1008.7
,2018-02-17,23.5,29.4,61.0,8.4,0.4,NNW,26,13:30,26.4,91,7,NE,15,1010.1,25.9,96,8,N,7,1007.6
,2018-02-18,24.9,31.7,4.4,3.0,3.8,N,35,13:47,28.2,88,7,NNW,9,1009.9,31.1,65,7,N,19,1007.5
,2018-02-19,25.5,32.8,0.6,2.0,9.1,NNW,46,18:06,28.7,85,6,N,9,1009.9,32.2,54,6,WNW,11,1006.4
,2018-02-20,24.8,29.7,10.0,5.4,0.3,SW,37,13:07,26.4,85,8,W,6,1009.5,28.8,79,7,W,17,1007.4
,2018-02-21,24.3,32.2,18.2,4.6,8.0,WNW,35,14:47,28.7,79,4,WNW,17,1008.1,29.8,73,6,NW,24,1004.8
,2018-02-22,26.0,32.5,0,4.8,8.5,WNW,37,14:08,28.3,81,6,W,20,1007.4,31.6,65,4,W,24,1004.5
,2018-02-23,27.2,32.8,0.8,5.8,8.4,WNW,37,14:49,29.8,77,5,W,19,1007.6,32.1,69,2,WNW,30,1003.9
,2018-02-24,24.0,30.0,0.6,6.0,0.2,SSW,35,12:56,27.8,77,8,WSW,9,1008.2,26.8,87,8,NW,11,1007.3
,2018-02-25,25.0,32.6,3.8,2.2,10.5,WNW,30,15:08,28.8,74,7,S,9,1008.3,31.8,67,3,WNW,20,1004.7
,2018-02-26,26.3,32.7,0,5.0,8.0,N,20,13:41,29.0,81,8,WSW,7,1007.6,31.7,57,8,NNW,9,1004.7
,2018-02-27,24.3,32.2,10.8,5.2,4.4,S,31,14:19,29.7,76,7,SW,9,1008.4,27.2,86,7,E,9,1006.2
,2018-02-28,25.9,33.4,0,4.0,8.2,WNW,30,15:54,28.7,82,7,SSE,6,1008.2,31.7,65,7,WNW,20,1005.6
