"Daily Weather Observations for Darwin, Northern Territory for March 2018"
"Prepared at 01:00 UTC on Friday 16 March 2018   IDCJDW8014.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,23.0,31.8,14.2,5.0,9.9,ESE,37,01:45,26.6,83,5,ESE,11,1008.2,30.9,70,2,NW,24,1005.9
,2018-03-2,26.4,33.2,0.2,5.8,6.3,S,44,16:25,29.7,79,3,WSW,13,1007.9,31.6,69,6,NW,24,1004.3
,2018-03-3,24.1,32.5,10.6,7.0,6.8,N,31,20:01,29.3,79,7,WNW,15,1007.4,30.7,71,7,WNW,22,1004.4
,2018-03-4,24.5,31.4,38.8,4.6,1.9,NW,22,16:48,28.1,87,7,SSE,2,1008.2,29.2,81,7,NNW,11,1005.2
,2018-03-5,24.7,32.5,5.6,3.2,7.3,ESE,57,21:10,28.4,81,6,ENE,7,1008.0,31.9,67,7,WNW,15,1004.3
,2018-03-6,23.2,33.3,8.4,5.2,10.5,WNW,31,15:51,27.1,82,3,SW,7,1007.1,32.4,60,1,W,17,1004.2
,2018-03-7,27.1,33.7,0.2,4.8,8.5,SE,50,16:20,29.8,80,6,W,17,1004.5,32.9,65,3,WNW,28,1001.3
,2018-03-8,23.7,32.7,10.6,6.8,10.5,WNW,43,15:13,30.5,74,7,W,20,1004.6,31.7,68,6,WNW,31,1002.2
,2018-03-9,28.1,33.4,0,6.0,10.5,WNW,37,03:19,30.5,74,5,WSW,13,1005.6,32.3,67,4,WNW,24,1003.5
,2018-03-10,28.3,33.2,0,5.2,9.2,NW,28,02:38,30.4,69,3,WNW,17,1008.1,32.4,59,2,WNW,20,1005.9
,2018-03-11,25.8,33.4,0,7.2,7.4,NW,31,15:41,28.9,84,7,NE,4,1010.4,32.0,65,2,WNW,20,1006.5
,2018-03-12,25.1,30.8,5.4,6.8,2.8,SE,43,19:14,28.1,81,5,SE,9,1008.9,24.6,96,7,E,6,1005.5
,2018-03-13,24.0,31.3,62.2,,5.1,NE,50,13:36,27.6,82,7,ESE,11,1008.9,30.1,70,7,E,19,1005.6
,2018-03-14,25.9,31.7,0.4,4.0,7.4,ESE,43,11:32,27.4,78,7,SE,13,1008.4,31.5,58,7,E,13,1005.2
,2018-03-15,25.3,33.1,0,7.0,9.1,ENE,39,11:59,27.3,76,4,SE,13,1008.5,32.7,48,6,ESE,24,1004.8
,2018-03-16,25.9,,0,6.4,,,,,28.1,63,7,SSE,17,1007.5,,,,,,
